transaction_id,employee_id,transaction_type,amount,payment_mode,bank_name,account_number,transaction_date,transaction_status
54,20,Salary,146157,UPI,Bank of India,XSWE9531463401058,2026-01-02,Pending
55,20,Salary,71484,Bank Transfer,Karur Vysya Bank,FXCQ6822127355563,2023-10-13,Success
56,20,Claim_Payout,28552,Bank Transfer,Canara Bank,KPNQ3340161817350,2025-01-19,Failed
57,20,Salary,13508,UPI,South Indian Bank,TSCD9497806126507,2024-03-18,Success
58,21,Reimbursement,53851,Bank Transfer,HDFC Bank,JMDH1734093513738,2024-08-19,Failed
59,21,Claim_Payout,49243,UPI,Bank of Baroda,SGYI2118336772596,2024-04-16,Failed
60,22,Salary,145940,UPI,State Bank of India,IIIT2227219189804,2025-07-12,Failed
61,22,Claim_Payout,103104,Bank Transfer,IDFC First Bank,VFAD2357561241548,2023-06-08,Success
62,22,Claim_Payout,97391,Bank Transfer,City Union Bank,XQAD5063028663692,2023-07-26,Success
63,22,Claim_Payout,33525,Cash,,,2023-08-17,Pending
64,23,Salary,100373,Cash,,,2023-02-10,Success
65,23,Claim_Payout,128274,Cash,,,2025-06-03,Failed
66,23,Claim_Payout,63750,UPI,Canara Bank,DUDZ8905310791439,2024-06-24,Failed
67,23,Salary,99927,Cash,,,2023-04-07,Success
68,24,Claim_Payout,50227,Bank Transfer,Indian Bank,FTUK1934995569209,2023-02-20,Pending
69,24,Reimbursement,106763,Bank Transfer,Dhanlaxmi Bank,QQIT2951635979464,2024-02-16,Failed
70,24,Claim_Payout,25532,Cash,,,2023-05-15,Failed
71,25,Reimbursement,133385,UPI,Kotak Mahindra Bank,GBHH0703627140509,2026-01-11,Success
72,25,Claim_Payout,81893,UPI,Kotak Mahindra Bank,VVLV8740656483462,2025-11-05,Success
73,25,Claim_Payout,78950,Cash,,,2023-09-21,Pending
74,25,Reimbursement,12775,Bank Transfer,Central Bank of India,NTOH2008429990038,2024-03-09,Failed
75,26,Reimbursement,139282,Bank Transfer,Punjab National Bank,LLFA6802029945649,2025-05-02,Success
76,26,Reimbursement,67783,Cash,,,2023-11-01,Pending
77,27,Salary,12718,Cash,,,2024-06-05,Failed
78,27,Claim_Payout,100038,Bank Transfer,Axis Bank,PGZV6494350805420,2024-01-01,Success
79,27,Reimbursement,45671,Bank Transfer,City Union Bank,AHNQ0161530823732,2024-04-09,Failed
80,27,Claim_Payout,51366,Cash,,,2025-11-21,Pending
81,28,Salary,16772,UPI,Tamilnad Mercantile Bank,ZEBR8474988064934,2024-07-03,Failed
82,28,Claim_Payout,41849,Cash,,,2024-07-15,Success
83,28,Reimbursement,99550,Bank Transfer,City Union Bank,ZZZJ2230814195113,2025-12-10,Pending
84,29,Reimbursement,148956,Bank Transfer,Union Bank of India,XSEG1949856986539,2023-04-24,Pending
85,29,Salary,113163,Bank Transfer,Bank of India,OASY0507792565382,2025-06-12,Pending
86,30,Claim_Payout,61934,UPI,Jammu & Kashmir Bank,KJZR6901941970143,2025-04-11,Success
87,30,Reimbursement,17182,UPI,State Bank of India,HRNV1840215206369,2023-12-30,Failed
88,30,Claim_Payout,47379,UPI,Canara Bank,CDBB0715358219402,2023-06-01,Failed
89,30,Salary,137915,UPI,Karur Vysya Bank,FINA9342677078826,2024-03-09,Success
90,31,Claim_Payout,23098,UPI,IDFC First Bank,HEQD4049898631907,2024-10-31,Failed
91,31,Salary,136226,UPI,Indian Bank,UMIT0573613836803,2024-09-20,Pending
92,31,Salary,46662,Bank Transfer,South Indian Bank,TYVF4143812485761,2024-06-04,Failed
93,32,Claim_Payout,64612,Bank Transfer,Punjab and Sind Bank,YAZO4455081095455,2023-10-11,Failed
94,32,Reimbursement,144836,UPI,Federal Bank,UDZE5282078806051,2024-12-14,Pending
95,32,Salary,48107,Cash,,,2025-12-05,Failed
96,32,Claim_Payout,64097,Bank Transfer,Union Bank of India,OXJN0125745967393,2023-11-24,Failed
97,33,Claim_Payout,40354,UPI,Union Bank of India,FOXA6443576437396,2024-09-09,Pending
98,33,Salary,112610,Bank Transfer,DCB Bank,KMCA4153171625697,2024-07-31,Success
99,33,Claim_Payout,106490,Bank Transfer,IDBI Bank,RLWM9295299209008,2023-11-23,Failed
100,33,Salary,120697,Bank Transfer,IDBI Bank,WHSI4659679123428,2023-04-03,Failed
101,34,Claim_Payout,93593,UPI,CSB Bank,VDFL3983816589789,2024-03-14,Pending
102,34,Reimbursement,134044,Bank Transfer,RBL Bank,DIRE5190857080796,2024-05-23,Pending
103,34,Claim_Payout,137222,UPI,Yes Bank,ZMTL3690845704548,2023-12-09,Success
104,34,Reimbursement,85017,UPI,IndusInd Bank,JDYJ7312498775922,2024-08-21,Failed
105,35,Claim_Payout,35951,Bank Transfer,Union Bank of India,BUCJ4478547617895,2024-03-05,Success
106,35,Claim_Payout,76305,UPI,South Indian Bank,IVCK7523785197879,2025-07-05,Pending
107,36,Salary,21390,Cash,,,2023-03-02,Failed
108,36,Reimbursement,124231,Cash,,,2023-05-27,Failed
109,36,Salary,135000,Bank Transfer,Jammu & Kashmir Bank,EMTM6650272952620,2023-04-15,Failed
110,36,Salary,134866,UPI,Jammu & Kashmir Bank,SGVO6649034463207,2025-03-27,Pending
111,37,Claim_Payout,57502,Cash,,,2023-04-03,Pending
112,37,Salary,92418,Bank Transfer,Union Bank of India,RMLW0364382909381,2023-02-16,Success
113,37,Salary,140583,Cash,,,2025-08-01,Failed
114,38,Reimbursement,53744,Cash,,,2025-06-07,Pending
115,38,Salary,125601,Cash,,,2023-02-16,Success
116,38,Salary,58681,UPI,Axis Bank,LJXJ6939809881380,2023-02-04,Failed
117,39,Reimbursement,50792,Cash,,,2025-04-30,Pending
118,39,Reimbursement,67414,UPI,Punjab National Bank,RKIQ8508330370530,2023-04-15,Pending
119,39,Salary,16196,Bank Transfer,City Union Bank,RIND8952257158074,2025-02-20,Failed
120,40,Salary,108199,UPI,Punjab National Bank,DJAR2598084291378,2024-03-30,Failed
121,40,Reimbursement,78065,UPI,Bandhan Bank,JYUM6704685451678,2024-08-04,Success
122,40,Claim_Payout,84997,UPI,Bank of India,UCVE6532960390506,2023-12-24,Success
123,40,Claim_Payout,138970,Bank Transfer,Axis Bank,CBTT4629756263761,2025-07-21,Pending
124,41,Reimbursement,121318,Bank Transfer,Central Bank of India,TFEM6123992901988,2025-02-20,Success
125,41,Claim_Payout,37210,UPI,IDFC First Bank,ZKBJ1133277708234,2023-04-20,Pending
126,42,Salary,69159,Cash,,,2023-08-04,Success
127,42,Reimbursement,34366,Bank Transfer,Bank of Maharashtra,XXFR8487399280575,2024-03-10,Failed
128,43,Reimbursement,31838,Bank Transfer,Central Bank of India,FARO6641234064210,2024-01-16,Failed
129,43,Salary,53934,UPI,Union Bank of India,OQIM2152557187215,2023-06-01,Pending
130,43,Claim_Payout,29605,Cash,,,2023-05-20,Success
131,44,Salary,30380,Cash,,,2025-11-27,Success
132,44,Reimbursement,12554,Bank Transfer,Indian Overseas Bank,BXDM3710630915499,2023-09-18,Pending
133,44,Reimbursement,35916,Bank Transfer,City Union Bank,ONJA9553571169969,2023-02-02,Failed
134,45,Salary,125923,UPI,Bank of Baroda,KSMX0123063777151,2024-01-09,Success
135,45,Salary,119572,Bank Transfer,Bank of Baroda,CWKQ2014838735594,2024-03-14,Success
136,46,Claim_Payout,27392,UPI,Punjab and Sind Bank,MITK3472999726193,2025-06-15,Failed
137,46,Claim_Payout,24817,UPI,Bank of Baroda,LLLR3905483271585,2025-01-30,Success
138,46,Salary,61458,Cash,,,2023-06-08,Success
139,47,Salary,131752,Cash,,,2025-04-06,Success
140,47,Reimbursement,45856,UPI,Dhanlaxmi Bank,QHOR0844465583395,2023-08-16,Success
141,47,Salary,145108,UPI,Union Bank of India,ZMSX1238419077427,2026-01-07,Failed
142,48,Claim_Payout,147498,UPI,Karur Vysya Bank,JOVD4453842521132,2024-03-01,Failed
143,48,Reimbursement,42468,UPI,Punjab and Sind Bank,CHVF1489952872261,2023-05-07,Success
144,48,Claim_Payout,34991,UPI,Punjab National Bank,SQHG4503176250962,2026-01-15,Pending
145,48,Salary,148011,Bank Transfer,Karnataka Bank,SJNB2480399318833,2024-05-27,Failed
146,49,Reimbursement,79812,Bank Transfer,Indian Bank,NTLV4052439158632,2024-01-30,Pending
147,49,Claim_Payout,16551,UPI,Yes Bank,EVWZ2145345633202,2025-03-17,Pending
148,49,Reimbursement,144857,Bank Transfer,Tamilnad Mercantile Bank,BNWR5228691274004,2024-07-18,Success
149,50,Claim_Payout,34742,UPI,DCB Bank,FLXU7013753569149,2025-08-09,Failed
150,50,Salary,103904,UPI,Federal Bank,RUPV2238004792455,2024-03-31,Failed
151,50,Reimbursement,19611,Bank Transfer,Indian Bank,DQMP8473293476436,2024-11-26,Success
152,50,Salary,102631,Bank Transfer,IDFC First Bank,HBWT6959874340064,2023-06-06,Pending
153,51,Salary,97169,Bank Transfer,State Bank of India,TCZZ5591952454289,2023-01-22,Failed
154,51,Claim_Payout,25843,Bank Transfer,Bank of Maharashtra,NUWS0244152585694,2023-07-07,Failed
155,52,Claim_Payout,97637,Cash,,,2024-03-09,Failed
156,52,Claim_Payout,10421,Bank Transfer,Indian Overseas Bank,PCPT6555784070222,2023-05-25,Pending
157,53,Salary,33061,Bank Transfer,Indian Overseas Bank,ODSV5539595366571,2024-09-26,Pending
158,53,Claim_Payout,73096,Bank Transfer,Union Bank of India,IUCN0717902192094,2023-04-15,Pending
159,53,Salary,14539,Cash,,,2024-07-23,Pending
160,54,Reimbursement,145912,Bank Transfer,Bank of Maharashtra,GRCB0008306282298,2023-05-25,Success
161,54,Claim_Payout,70407,Bank Transfer,Bank of Maharashtra,IHJA7131270197544,2024-12-01,Pending
162,54,Reimbursement,52310,UPI,Karnataka Bank,XKDS2576888107948,2023-07-31,Failed
163,54,Salary,36420,Bank Transfer,Union Bank of India,VUNT1701580237742,2025-06-13,Failed
164,55,Salary,139905,Cash,,,2024-08-03,Pending
165,55,Reimbursement,45933,UPI,Indian Bank,NHYY2241833860017,2025-08-01,Failed
166,55,Reimbursement,15778,UPI,Jammu & Kashmir Bank,XOEM7028965945346,2024-11-24,Success
167,55,Reimbursement,61618,Cash,,,2023-04-29,Failed
168,56,Claim_Payout,85164,Bank Transfer,IndusInd Bank,GSWX2003718435370,2025-12-15,Failed
169,56,Claim_Payout,28591,Cash,,,2024-11-03,Success
170,56,Salary,119068,Cash,,,2023-11-10,Pending
171,56,Claim_Payout,113675,Bank Transfer,State Bank of India,JRRQ9311498768288,2025-11-08,Pending
172,57,Claim_Payout,93857,UPI,Kotak Mahindra Bank,CQTE8900246566288,2024-03-26,Failed
173,57,Salary,87113,UPI,Nainital Bank,GEHS4821401744607,2023-12-31,Pending
174,57,Salary,30189,Bank Transfer,ICICI Bank,PUCX6476167788960,2025-12-13,Success
175,57,Claim_Payout,124354,Bank Transfer,Bank of India,WSOQ9088422056011,2025-12-20,Failed
176,58,Salary,126735,Bank Transfer,Union Bank of India,PARH5120528688670,2025-07-13,Pending
177,58,Reimbursement,43918,Cash,,,2025-12-31,Pending
178,58,Claim_Payout,122876,Bank Transfer,South Indian Bank,QZGL9415596049130,2024-09-19,Success
179,58,Claim_Payout,111191,Cash,,,2024-09-04,Pending
180,59,Claim_Payout,56973,UPI,UCO Bank,QQVX1092345327887,2026-01-09,Success
181,59,Claim_Payout,63951,Cash,,,2024-06-15,Success
182,59,Salary,90896,Cash,,,2023-02-23,Pending
183,59,Claim_Payout,44118,UPI,ICICI Bank,QDRC7928991946585,2023-09-18,Success
184,60,Reimbursement,29248,UPI,HDFC Bank,DCMS4197643020946,2024-12-20,Failed
185,60,Claim_Payout,35308,UPI,Yes Bank,WRZR6354823481991,2023-07-02,Failed
186,60,Reimbursement,87863,Bank Transfer,Bank of Baroda,ZKBY1052715416743,2023-12-19,Failed
187,61,Reimbursement,112240,UPI,IndusInd Bank,UXBB7390673878451,2023-09-23,Failed
188,61,Salary,22839,Cash,,,2023-04-19,Success
189,61,Reimbursement,29959,Bank Transfer,Union Bank of India,MPAX8966979479065,2023-07-30,Failed
190,61,Salary,89414,Cash,,,2024-09-14,Pending
191,62,Reimbursement,132584,Cash,,,2024-06-14,Success
192,62,Claim_Payout,94416,UPI,South Indian Bank,TLYW1481474996395,2025-09-12,Success
193,62,Claim_Payout,114156,UPI,HDFC Bank,ZKGU8647081198441,2024-01-07,Pending
194,62,Reimbursement,113953,Cash,,,2023-09-13,Success
195,63,Reimbursement,33028,Cash,,,2023-07-31,Pending
196,63,Salary,68499,UPI,ICICI Bank,YKRU7796505075054,2025-03-20,Pending
197,64,Salary,11706,Cash,,,2024-04-15,Failed
198,64,Salary,148754,Bank Transfer,Union Bank of India,NIMX4544286370972,2025-01-28,Failed
199,65,Claim_Payout,107471,UPI,Karnataka Bank,GXRK3240902286128,2023-03-17,Pending
200,65,Salary,29645,Cash,,,2025-10-21,Success
201,65,Reimbursement,11815,Bank Transfer,Jammu & Kashmir Bank,EYLA7908864884001,2024-03-24,Success
202,65,Reimbursement,116275,Bank Transfer,Indian Overseas Bank,HEYQ6431828809336,2025-08-09,Success
203,66,Claim_Payout,147185,Cash,,,2023-12-02,Pending
204,66,Claim_Payout,34225,UPI,Union Bank of India,BVMK6894603401784,2023-08-12,Pending
205,67,Reimbursement,20651,UPI,Nainital Bank,SAXM7348370492009,2024-12-11,Success
206,67,Claim_Payout,60070,UPI,Central Bank of India,FEQS8591728796419,2024-02-17,Pending
207,67,Reimbursement,75955,Cash,,,2023-11-06,Pending
208,68,Claim_Payout,133610,UPI,IDBI Bank,OAFD2784357130714,2024-03-17,Pending
209,68,Salary,145869,Cash,,,2024-09-04,Pending
210,68,Reimbursement,61058,UPI,DCB Bank,UMDW3023417353805,2024-05-28,Failed
211,68,Claim_Payout,146846,Bank Transfer,Bank of India,ZWMV9001396828825,2024-12-22,Pending
212,69,Reimbursement,14010,UPI,Indian Bank,BPDM6645198658825,2024-03-15,Pending
213,69,Claim_Payout,32988,UPI,Axis Bank,DGWD1083566237391,2024-10-04,Success
214,70,Salary,98219,Cash,,,2023-03-10,Failed
215,70,Reimbursement,142735,Bank Transfer,Bandhan Bank,KZHQ6177003736927,2025-10-24,Failed
216,71,Claim_Payout,146089,Cash,,,2024-08-07,Failed
217,71,Salary,39098,Cash,,,2024-08-12,Failed
218,71,Reimbursement,43983,Bank Transfer,Dhanlaxmi Bank,ORFO1113995267493,2024-04-14,Failed
219,72,Claim_Payout,105455,Cash,,,2023-01-25,Success
220,72,Reimbursement,93296,UPI,Axis Bank,AGUN3544157822869,2024-08-18,Success
221,73,Claim_Payout,27784,Bank Transfer,Indian Bank,JAFU4175988221776,2023-06-10,Failed
222,73,Reimbursement,34043,Cash,,,2026-01-02,Pending
223,73,Salary,84476,Bank Transfer,Karur Vysya Bank,GJSL4744679329526,2023-04-18,Pending
224,73,Claim_Payout,86008,UPI,Yes Bank,YARG3582367147694,2025-09-05,Pending
225,74,Reimbursement,134699,Cash,,,2023-08-01,Success
226,74,Salary,86715,Cash,,,2023-12-07,Failed
227,75,Claim_Payout,111156,Cash,,,2025-12-08,Success
228,75,Reimbursement,103588,Cash,,,2024-12-18,Pending
229,76,Salary,140955,UPI,Axis Bank,ARSH0468541860844,2025-11-06,Failed
230,76,Reimbursement,78540,Cash,,,2025-01-07,Pending
231,77,Claim_Payout,10903,UPI,Bank of Baroda,CZDE1844641342837,2025-05-24,Success
232,77,Salary,51354,UPI,Bandhan Bank,EKDL1527884336065,2023-08-09,Failed
233,77,Reimbursement,107319,Bank Transfer,Axis Bank,CPUJ9914263032421,2025-07-15,Success
234,77,Reimbursement,26074,UPI,State Bank of India,FFGV2607404467284,2023-04-21,Success
235,78,Claim_Payout,106748,Bank Transfer,Canara Bank,SARM7665485387289,2025-07-30,Pending
236,78,Salary,21560,Cash,,,2025-07-31,Pending
237,79,Reimbursement,32917,Bank Transfer,Bandhan Bank,AUMO0775861272094,2025-04-04,Failed
238,79,Claim_Payout,131637,Cash,,,2025-03-29,Pending
239,80,Claim_Payout,124728,UPI,IDBI Bank,QJWV1731857797654,2024-03-24,Success
240,80,Salary,127859,Cash,,,2025-11-15,Success
241,81,Claim_Payout,40288,Bank Transfer,Federal Bank,CJBP0130283918564,2023-04-12,Failed
242,81,Salary,63826,Cash,,,2025-06-26,Pending
243,81,Salary,69312,Bank Transfer,City Union Bank,XYKU9502194069763,2024-01-06,Success
244,81,Salary,24679,Cash,,,2025-09-28,Success
245,82,Claim_Payout,46448,UPI,Karur Vysya Bank,UNKA2177294506368,2024-10-24,Success
246,82,Claim_Payout,148147,Bank Transfer,South Indian Bank,IBWH8865442201393,2024-01-11,Pending
247,82,Reimbursement,46336,UPI,Bank of India,PWFB0510414509039,2023-03-09,Pending
248,82,Claim_Payout,61524,Cash,,,2024-04-14,Success
249,83,Claim_Payout,61801,Bank Transfer,ICICI Bank,AMDX8519312647623,2025-06-15,Pending
250,83,Salary,29206,UPI,Karur Vysya Bank,UVQJ3336395977665,2024-02-01,Success
251,83,Salary,21108,Bank Transfer,Union Bank of India,DXGJ0742743103598,2025-08-11,Success
252,84,Reimbursement,75896,Cash,,,2023-08-23,Pending
253,84,Reimbursement,63342,Cash,,,2023-02-21,Failed
254,84,Salary,122612,UPI,RBL Bank,HXXV2470954816949,2025-03-07,Success
255,84,Salary,24754,Cash,,,2025-02-05,Pending
256,85,Reimbursement,55225,Cash,,,2024-05-05,Pending
257,85,Claim_Payout,25021,Bank Transfer,Kotak Mahindra Bank,ITLA3692279334914,2023-07-11,Failed
258,86,Claim_Payout,148963,Bank Transfer,RBL Bank,WUQR7649840147274,2024-06-21,Success
259,86,Claim_Payout,56930,Bank Transfer,Bank of Baroda,ATZJ7283276097229,2024-04-24,Success
260,87,Salary,18334,Cash,,,2023-06-12,Success
261,87,Claim_Payout,141605,Bank Transfer,Kotak Mahindra Bank,AQES5979350334312,2023-09-22,Pending
262,87,Reimbursement,80920,UPI,Bandhan Bank,IOHU8588469085864,2024-12-05,Pending
263,87,Reimbursement,77497,Cash,,,2024-02-26,Success
264,88,Salary,121519,UPI,DCB Bank,CDTZ0476280121214,2025-09-10,Success
265,88,Claim_Payout,102196,UPI,IDBI Bank,WPUU5797426024209,2023-09-16,Pending
266,89,Salary,124718,Bank Transfer,Nainital Bank,ZXRX2536445334685,2025-12-26,Failed
267,89,Salary,116309,UPI,IndusInd Bank,LWAB0801353975110,2026-01-14,Failed
268,89,Reimbursement,79466,UPI,ICICI Bank,JEDF8348738372033,2025-08-06,Success
269,89,Salary,48687,Bank Transfer,City Union Bank,HRON4594266972909,2025-06-03,Success
270,90,Salary,133551,Bank Transfer,Union Bank of India,FBPU2290565731366,2023-08-09,Pending
271,90,Claim_Payout,95950,Cash,,,2024-10-02,Failed
272,90,Reimbursement,119844,Bank Transfer,Canara Bank,EPKH4253712533893,2025-04-23,Pending
273,91,Reimbursement,45545,Cash,,,2025-01-26,Success
274,91,Salary,121497,Bank Transfer,City Union Bank,YMZM9217267398538,2023-10-24,Pending
275,92,Claim_Payout,68343,UPI,Federal Bank,UUFW7584229663081,2025-02-23,Failed
276,92,Salary,130294,Cash,,,2023-08-20,Failed
277,92,Salary,43110,Cash,,,2025-09-13,Failed
278,93,Salary,116780,Cash,,,2024-04-08,Success
279,93,Reimbursement,114825,Bank Transfer,Dhanlaxmi Bank,IYLL2450291441169,2024-11-25,Success
280,94,Reimbursement,116401,UPI,Punjab National Bank,QMPW8561236519596,2025-03-12,Pending
281,94,Salary,29163,Cash,,,2023-09-18,Success
282,95,Salary,73423,UPI,Central Bank of India,PPRP1555324271786,2024-08-02,Success
283,95,Claim_Payout,24392,UPI,ICICI Bank,PJRZ5181658507421,2023-12-28,Success
284,95,Claim_Payout,57870,Cash,,,2024-10-30,Pending
285,96,Reimbursement,24962,UPI,Karnataka Bank,TNWV1823214971119,2024-06-01,Failed
286,96,Salary,127740,Bank Transfer,Canara Bank,NLOF0365864933717,2025-02-21,Failed
287,97,Salary,143373,UPI,Indian Bank,JWOL7177867850844,2023-07-09,Failed
288,97,Claim_Payout,80606,UPI,Punjab National Bank,XDPS9929428720733,2025-04-09,Success
289,98,Reimbursement,95305,UPI,Federal Bank,QRJV7656878611612,2025-02-04,Failed
290,98,Salary,86280,UPI,Bank of Maharashtra,MFVC2752738942645,2024-05-23,Pending
291,98,Claim_Payout,96341,Cash,,,2024-05-01,Failed
292,99,Salary,106964,Bank Transfer,Punjab National Bank,DBPL1070791494784,2024-04-04,Success
293,99,Reimbursement,52596,UPI,Bank of Baroda,WJAZ3656566371216,2024-06-04,Success
294,99,Claim_Payout,78538,UPI,Bandhan Bank,MLWY2157403486851,2024-09-01,Failed
295,99,Claim_Payout,14739,UPI,UCO Bank,OLQR0552631376280,2024-10-16,Success
296,100,Reimbursement,85344,Bank Transfer,IDBI Bank,CMUP0647061859375,2025-02-12,Pending
297,100,Salary,148444,UPI,Indian Overseas Bank,GGKX1370996596741,2025-12-08,Pending
298,100,Reimbursement,149108,Cash,,,2024-11-02,Pending
299,101,Claim_Payout,87640,Cash,,,2023-04-27,Success
300,101,Salary,149648,UPI,Central Bank of India,YWMN0981968934668,2023-01-23,Pending
301,101,Salary,141817,UPI,Dhanlaxmi Bank,AIJE0413311493167,2023-10-25,Failed
302,102,Reimbursement,135800,UPI,DCB Bank,TTMH9736587568033,2024-02-11,Pending
303,102,Claim_Payout,21820,Bank Transfer,Bank of Maharashtra,IDSP8669912183236,2023-08-01,Pending
304,103,Salary,112421,Cash,,,2023-05-21,Success
305,103,Claim_Payout,131373,UPI,Karur Vysya Bank,HHBN9861375147654,2023-08-18,Pending
306,103,Salary,138124,UPI,Tamilnad Mercantile Bank,PMPH8474859504522,2024-07-01,Pending
307,103,Reimbursement,118609,Cash,,,2025-08-25,Failed
308,104,Salary,33019,UPI,Central Bank of India,PCRY9685438221546,2023-05-05,Pending
309,104,Salary,121626,Bank Transfer,Indian Bank,YHKE9242421076093,2023-05-20,Failed
310,105,Reimbursement,10110,UPI,IDBI Bank,ERVK6324250772408,2025-05-18,Success
311,105,Claim_Payout,45992,UPI,Nainital Bank,IMXN5816204298677,2025-11-01,Failed
312,105,Reimbursement,25229,Bank Transfer,ICICI Bank,BGNK8531434874818,2023-08-09,Pending
313,106,Salary,62118,Bank Transfer,CSB Bank,WSTL0675423753316,2025-02-03,Failed
314,106,Claim_Payout,135740,Bank Transfer,Karur Vysya Bank,YFUT2434893548592,2025-08-14,Success
315,106,Salary,73290,Bank Transfer,Karnataka Bank,ULST8267784604416,2025-09-16,Failed
316,106,Reimbursement,18722,Bank Transfer,Canara Bank,IPXE2587495401960,2025-11-04,Success
317,107,Claim_Payout,91429,UPI,City Union Bank,EAAM6281403077248,2025-11-20,Pending
318,107,Reimbursement,92943,Bank Transfer,Canara Bank,MTZA9367247289449,2023-03-04,Failed
319,107,Salary,16508,UPI,Punjab and Sind Bank,ASUP1207713319437,2024-07-11,Failed
320,107,Claim_Payout,139290,Bank Transfer,South Indian Bank,ZOCM2966712984629,2023-10-12,Success
